ID,TcName,SSC,StartTime,StopTime,Duration,Busy,TcMode,RepetitionRaw,Repetition,acqNum,Windowing,Images
1,ZSS17202,1852,2021-06-14T18:15:31.000000Z,2021-06-14T18:45:51.000000Z,30 minutes and 20 seconds,0.0,Continuous,300,1.5,1213,1,1213
2,ZSS17202,1865,2021-06-14T19:56:01.000000Z,2021-06-14T20:42:21.000000Z,46 minutes and 20 seconds,0.0,Continuous,200,1.0,2780,1,2780
